file_size,num_lines,avg_line_len,max_line_len,entropy,special_char_ratio,digit_ratio,uppercase_ratio,space_ratio,hex_escape_count,unicode_escape_count,base64_count,long_string_count,eval_count,unescape_count,atob_count,function_constructor,settimeout_count,setinterval_count,document_write,num_identifiers,avg_identifier_len,avg_identifier_entropy,array_access_count,hex_array_index,num_functions,num_var_decl,num_semicolons,num_commas,bracket_ratio,square_bracket_ratio
1658,55,30.145454545454545,79,4.9829056917160806,0.15983112183353437,0.018094089264173704,0.04825090470446321,0.14957780458383596,0,0,0,1,0,0,0,0,0,0,0,184,6.119565217391305,2.458275148050781,0,0,3,0,35,24,0.04342581423401689,0.006031363088057901
1401,43,32.58139534883721,79,4.904892041013209,0.14204139900071378,0.01284796573875803,0.03997144896502498,0.16345467523197715,0,0,0,2,0,0,0,0,0,0,0,169,5.686390532544379,2.333708900217906,0,0,3,0,25,17,0.037116345467523196,0.0028551034975017845
1122,41,27.365853658536587,78,5.011326259853008,0.17290552584670232,0.0106951871657754,0.059714795008912656,0.15062388591800357,0,0,0,0,0,0,0,0,0,0,0,124,6.016129032258065,2.3799836153398406,0,0,2,0,25,15,0.044563279857397504,0.0035650623885918
653,26,25.115384615384617,64,4.858393307148109,0.18223583460949463,0.007656967840735069,0.02909647779479326,0.12404287901990811,0,0,0,1,0,0,0,0,0,0,0,62,7.290322580645161,2.492127548223703,0,0,2,0,15,7,0.055130168453292494,0.0030627871362940277
937,31,30.225806451612904,77,4.923177688963332,0.22411953041622198,0.005336179295624333,0.02454642475987193,0.10885805763073639,0,0,0,0,0,0,0,0,0,0,0,107,5.803738317757009,2.349183050089971,0,0,0,0,23,9,0.05549626467449306,0.0021344717182497333
581,22,26.40909090909091,76,4.939530663821175,0.17555938037865748,0.024096385542168676,0.03614457831325301,0.12736660929432014,0,0,0,0,0,0,0,0,1,0,0,59,6.627118644067797,2.4797180357634017,0,0,0,0,13,5,0.058519793459552494,0.0
1884,64,29.4375,76,4.9608457686876415,0.15392781316348195,0.009023354564755838,0.07165605095541401,0.15498938428874734,0,0,0,1,0,0,0,0,0,0,0,189,6.798941798941799,2.422961839657513,0,0,5,0,33,22,0.045647558386411886,0.004246284501061571
2973,100,29.73,77,4.983168179840976,0.14093508240834174,0.02657248570467541,0.06020854355869492,0.18365287588294651,0,0,0,2,0,0,0,0,0,1,0,314,6.289808917197452,2.417597510064742,0,0,3,0,46,45,0.03363605785401951,0.0013454423141607804
6448,50,128.96,139,2.7404816098379334,0.9385856079404467,0.0,0.0,0.057847394540942926,0,0,0,0,0,0,0,0,0,0,0,4,5.75,2.3747301399608087,0,0,0,0,1,650,0.03923697270471464,0.0
2968,86,34.51162790697674,79,4.864097621357587,0.15431266846361186,0.025943396226415096,0.036725067385444746,0.1940700808625337,0,0,0,0,0,0,0,0,2,0,0,279,6.806451612903226,2.488838911515713,0,0,2,0,50,51,0.04177897574123989,0.0013477088948787063
606,24,25.25,79,4.868206800581507,0.18811881188118812,0.009900990099009901,0.013201320132013201,0.132013201320132,0,0,0,0,0,0,0,0,0,0,0,75,5.453333333333333,2.2245527945178702,0,0,1,0,11,6,0.039603960396039604,0.006600660066006601
447,24,18.625,42,4.367338806379001,0.15883668903803133,0.0,0.017897091722595078,0.3042505592841163,0,0,0,0,0,0,0,0,0,0,0,46,5.217391304347826,2.1654873509500985,0,0,3,0,8,5,0.035794183445190156,0.0
996,37,26.91891891891892,71,4.866669415639583,0.1927710843373494,0.0030120481927710845,0.03313253012048193,0.18473895582329317,0,0,0,0,0,0,0,0,0,0,0,111,5.558558558558558,2.2449518477693156,0,0,2,0,22,8,0.0642570281124498,0.002008032128514056
